item_name,kind_name,rank,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date,item_code,kind_code,rank_code
조기,참조기(냉동)(1마리),小,1마리,당일 (01/06),888,1일전 (01/05),-,1주일전 (12/30),876,2주일전 (12/23),836,1개월전,799,1년전,-,일평년,-,2023-01-06,,,
명태,냉동(원양수입통합)(1마리),大,1마리,당일 (01/06),"3,608",1일전 (01/05),"3,608",1주일전 (12/30),"3,741",2주일전 (12/23),"3,753",1개월전,"3,506",1년전,-,일평년,-,2023-01-06,,,
물오징어,연근해(신선 냉장)(1마리),中,1마리,당일 (01/06),"6,805",1일전 (01/05),"6,829",1주일전 (12/30),"7,169",2주일전 (12/23),"6,885",1개월전,"7,333",1년전,-,일평년,-,2023-01-06,,,
물오징어,연근해(냉동)(1마리),中,1마리,당일 (01/06),"4,579",1일전 (01/05),"4,689",1주일전 (12/30),"4,749",2주일전 (12/23),"4,692",1개월전,"4,530",1년전,-,일평년,-,2023-01-06,,,
물오징어,원양(냉동)(1마리),中,1마리,당일 (01/06),"4,104",1일전 (01/05),"4,104",1주일전 (12/30),-,2주일전 (12/23),"4,208",1개월전,-,1년전,-,일평년,-,2023-01-06,,,
건멸치,건멸치(100g),중멸,100g,당일 (01/06),"2,604",1일전 (01/05),"2,604",1주일전 (12/30),"2,613",2주일전 (12/23),"2,615",1개월전,"2,607",1년전,"2,756",일평년,"2,679",2023-01-06,,,
건오징어,건오징어(10마리),중품,10마리,당일 (01/06),"67,960",1일전 (01/05),"67,960",1주일전 (12/30),"67,860",2주일전 (12/23),"67,630",1개월전,"65,927",1년전,"63,694",일평년,"55,721",2023-01-06,,,
김,마른김(10장),중품,10장,당일 (01/06),986,1일전 (01/05),986,1주일전 (12/30),994,2주일전 (12/23),994,1개월전,936,1년전,917,일평년,956,2023-01-06,,,
김,얼구운김(10장),중품,10장,당일 (01/06),"1,637",1일전 (01/05),"1,637",1주일전 (12/30),"1,643",2주일전 (12/23),"1,643",1개월전,"1,639",1년전,"1,646",일평년,"1,520",2023-01-06,,,
건미역,건미역(100g),상품,100g,당일 (01/06),"2,780",1일전 (01/05),"2,972",1주일전 (12/30),"3,021",2주일전 (12/23),"3,021",1개월전,"3,014",1년전,"2,898",일평년,"2,884",2023-01-06,,,
굴,굴(1kg),상품,1kg,당일 (01/06),"27,846",1일전 (01/05),"27,856",1주일전 (12/30),"28,103",2주일전 (12/23),"28,821",1개월전,"28,367",1년전,"26,413",일평년,"20,317",2023-01-06,,,
